source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,processed_path,tags,relevance_note
eloundou_2023,"GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models","Eloundou Tyna; Manning Sam; Mishkin Pamela; Rock Daniel",2023,paper,arXiv,10.48550/arXiv.2303.10130,data/raw/eloundou_2023_gpts_labor_impact.pdf,data/processed/eloundou_2023.txt,"LLM;labor-market;GPT;exposure;occupations","Seminal paper estimating ~80% of US workforce has >=10% tasks exposed to LLMs; foundational for AI-job displacement research."
demirci_2023,"Generate the Future of Work: Evidence from an Online Labor Market","Demirci Ozge; Hannane Jonas; Squicciarini Mariagrazia",2023,paper,arXiv,10.48550/arXiv.2308.05201,data/raw/demirci_2023_generate_future_of_work.pdf,data/processed/demirci_2023.txt,"freelance;online-labor;generative-AI;displacement","Studies how generative AI affects online labor markets; finds reduced demand for writing/coding freelancers."
kogan_2025,"AI-Exposed Jobs Deteriorated Before ChatGPT","Kogan Leonid; Papanikolaou Dimitris; Schmidt Lawrence; Seegmiller Bryan",2025,paper,arXiv,10.48550/arXiv.2601.02554,data/raw/kogan_2025_ai_jobs_before_chatgpt.pdf,data/processed/kogan_2025.txt,"AI-exposure;wages;employment;pre-ChatGPT","Shows AI-exposed occupations already showed wage/employment declines before ChatGPT; important for causal claims."
demirci_2024,"Strategic Responses to Technological Change","Demirci Ozge; Hannane Jonas",2024,paper,arXiv,10.48550/arXiv.2403.15262,data/raw/demirci_2024_strategic_responses_tech.pdf,data/processed/demirci_2024.txt,"freelance;strategic-response;skill-adaptation","Examines how freelancers strategically adapt to AI tools—upskilling, niche specialization, or exit."
park_2025,"Beyond Automation: Rethinking Work Creativity and Governance in the Age of AI","Park Jaewoo",2025,paper,arXiv,10.48550/arXiv.2512.11893,data/raw/park_2025_beyond_automation_governance.pdf,data/processed/park_2025.txt,"governance;creativity;automation;policy","Argues AI governance must go beyond automation framing; discusses creativity, worker agency, and policy design."
eu_ai_act_2025,"Mapping the Regulatory Learning Space for the EU AI Act","Various",2025,paper,arXiv,10.48550/arXiv.2503.05787,data/raw/eu_ai_act_regulatory_2025.pdf,data/processed/eu_ai_act_2025.txt,"EU-AI-Act;regulation;compliance;policy","Analyzes the EU AI Act's regulatory learning space; implications for AI workforce regulation."
schuett_2024,"The EU AI Audit Ecosystem Beyond the AI Act","Schuett Jonas; others",2024,paper,arXiv,10.48550/arXiv.2403.07904,data/raw/schuett_2024_eu_ai_audit_gap.pdf,data/processed/schuett_2024.txt,"EU;audit;compliance;AI-Act","Examines gaps in EU AI Act audit ecosystem; relevant to enforcement of labor-protecting AI regulation."
capelle_2024,"AI and the Macroeconomy: Expert Disagreements and New Results","Capelle Damien; others",2024,paper,arXiv,10.48550/arXiv.2408.13300,data/raw/capelle_2024_ai_economic_disagreements.pdf,data/processed/capelle_2024.txt,"macroeconomics;GDP;productivity;expert-survey","Surveys expert disagreements on AI's macroeconomic impact—productivity gains vs. inequality and job loss."
chen_2024,"Artificial Intelligence and Society: A Survey","Chen Yuntao; others",2024,paper,arXiv,10.48550/arXiv.2401.05377,data/raw/chen_2024_ai_society_impact.pdf,data/processed/chen_2024.txt,"survey;society;ethics;labor","Broad survey of AI's societal impact including labor displacement, bias, and governance challenges."
hui_2023,"AI and Freelance Labor Markets","Hui Xiang; Reshef Olga; Zhou Luofeng",2023,paper,arXiv,10.48550/arXiv.2306.15509,data/raw/hui_2023_ai_freelance_labor.pdf,data/processed/hui_2023.txt,"freelance;gig-economy;displacement;wages","Studies ChatGPT's impact on freelance platforms; finds significant earnings decline for writing/coding jobs."
nigar_2025,"AI and Technological Unemployment: A Systematic Review","Nigar Nahida; others",2025,paper,Journal of Open Innovation,10.1016/j.joitmc.2025.100428,data/raw/nigar_2025_ai_technological_unemployment.pdf,data/processed/nigar_2025.txt,"systematic-review;technological-unemployment;AI","Systematic review of AI-driven technological unemployment; synthesizes evidence across sectors."
sharfuddin_2025,"Reforming the Tax Code for an AI-Driven Workforce","Sharfuddin Syed",2025,policy-brief,Mercatus Center,mercatus.org/research/policy-briefs/reforming-tax-code-ai-driven-workforce,data/raw/sharfuddin_2025_tax_reform_workforce.pdf,data/processed/sharfuddin_2025.txt,"tax-reform;workforce;policy;UBI-adjacent","Proposes tax code reforms to support workers displaced by AI; discusses UBI-adjacent fiscal mechanisms."
imf_ai_economy,"AI Will Transform the Global Economy: Let's Make Sure It Benefits Humanity","Georgieva Kristalina",2024,report,IMF Blog,imf.org/en/Blogs/Articles/2024/01/14/ai-will-transform-the-global-economy-lets-make-sure-it-benefits-humanity,data/raw/imf_ai_global_economy.pdf,data/processed/imf_ai_economy.txt,"IMF;global-economy;inequality;policy","IMF analysis: AI will affect ~40% of global jobs; advanced economies more exposed; calls for safety nets."
tan_2025,"Universal Basic Income in the Age of Automation","Tan Wei",2025,paper,independent,n/a,data/raw/tan_2025_ubi_automation.pdf,data/processed/tan_2025.txt,"UBI;automation;welfare;policy","Examines UBI as a response to automation-driven job displacement; feasibility and design considerations."
shrm_2024,"Automation Generative AI and Job Displacement Risk","SHRM Research",2024,report,SHRM,shrm.org/topics-tools/data-brief-automation-generative-ai-job-displacement-risk,data/raw/shrm_automation_job_displacement.pdf,data/processed/shrm_2024.txt,"automation;generative-AI;displacement-risk;HR","SHRM data brief on job displacement risk from automation and generative AI; practitioner perspective."
